"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Should create ResourceAlreadyExistsException with message and cause","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.ResourceAlreadyExistsExceptionTest","com.talentradar.user_service.exception.ResourceAlreadyExistsExceptionTest","shouldCreateWithMessageAndCause"
"","6","Should throw exception when user is already active","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","completeRegistration_WithActiveUser_ThrowsException"
"","3","Should handle empty message","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.ResourceNotFoundExceptionTest","com.talentradar.user_service.exception.ResourceNotFoundExceptionTest","shouldHandleEmptyMessage"
"","9","Should handle authentication with different user roles","","Mon Jul 28 10:22:50 GMT 2025","passed","Mon Jul 28 10:22:50 GMT 2025","","com.talentradar.user_service.service.AuthenticationServiceTest","com.talentradar.user_service.service.AuthenticationServiceTest","login_WithAdminUser_ReturnsCorrectRole"
"","5","Should throw exception when passwords do not match","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","completeRegistration_WithMismatchedPasswords_ThrowsException"
"","4","Should handle empty message","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.SessionNotFoundExceptionTest","com.talentradar.user_service.exception.SessionNotFoundExceptionTest","shouldHandleEmptyMessage"
"","2","filterSessions_withInvalidDate_shouldThrowException()","","Mon Jul 28 10:22:57 GMT 2025","passed","Mon Jul 28 10:22:57 GMT 2025","","com.talentradar.user_service.SessionServiceFilterTest","com.talentradar.user_service.SessionServiceFilterTest","filterSessions_withInvalidDate_shouldThrowException"
"","6","Should handle null message","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.InvalidTokenExceptionTest","com.talentradar.user_service.exception.InvalidTokenExceptionTest","shouldHandleNullMessage"
"","4","Should throw RuntimeException when MimeMessage creation fails","","Mon Jul 28 10:22:50 GMT 2025","passed","Mon Jul 28 10:22:50 GMT 2025","","com.talentradar.user_service.service.SmtpEmailServiceTest","com.talentradar.user_service.service.SmtpEmailServiceTest","sendRegistrationInvite_WhenMimeMessageCreationFails_ThrowsRuntimeException"
"","76","Should return bad request for invalid email","","Mon Jul 28 10:22:56 GMT 2025","passed","Mon Jul 28 10:22:56 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","inviteUser_WithInvalidEmail_ReturnsBadRequest"
"","33","Should handle service exception gracefully","","Mon Jul 28 10:22:55 GMT 2025","passed","Mon Jul 28 10:22:55 GMT 2025","","com.talentradar.user_service.controller.UserControllerTest","com.talentradar.user_service.controller.UserControllerTest","getAll_WhenServiceThrowsException_ReturnsError"
"","10","Should complete registration successfully","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","completeRegistration_WithValidToken_SuccessfullyCompletesRegistration"
"","5","Should throw exception when no manager users found for developer","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","initiateRegistration_WithDeveloperRole_NoManagerUsers_ThrowsException"
"","6","Should handle null message","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.SessionNotFoundExceptionTest","com.talentradar.user_service.exception.SessionNotFoundExceptionTest","shouldHandleNullMessage"
"","539","Should send registration invite email with empty invite link","","Mon Jul 28 10:22:50 GMT 2025","passed","Mon Jul 28 10:22:50 GMT 2025","","com.talentradar.user_service.service.SmtpEmailServiceTest","com.talentradar.user_service.service.SmtpEmailServiceTest","sendRegistrationInvite_WithEmptyInviteLink_SendsEmail"
"","36","Should handle null message","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.InvalidDateFormatExceptionTest","com.talentradar.user_service.exception.InvalidDateFormatExceptionTest","shouldHandleNullMessage"
"","102","Should filter sessions by userId only","","Mon Jul 28 10:22:56 GMT 2025","passed","Mon Jul 28 10:22:56 GMT 2025","","com.talentradar.user_service.controller.SessionControllerTest","com.talentradar.user_service.controller.SessionControllerTest","filterSession_WithUserIdOnly_ReturnsFilteredSessions"
"","4","Should throw exception when email is empty","","Mon Jul 28 10:22:50 GMT 2025","passed","Mon Jul 28 10:22:50 GMT 2025","","com.talentradar.user_service.service.SmtpEmailServiceTest","com.talentradar.user_service.service.SmtpEmailServiceTest","sendRegistrationInvite_WithEmptyEmail_ThrowsException"
"","11","Should get active sessions successfully","","Mon Jul 28 10:22:56 GMT 2025","passed","Mon Jul 28 10:22:56 GMT 2025","","com.talentradar.user_service.controller.SessionControllerTest","com.talentradar.user_service.controller.SessionControllerTest","viewActiveSession_WithValidRequest_ReturnsActiveSessions"
"","1","Should create AppException with message","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.AppExceptionTest","com.talentradar.user_service.exception.AppExceptionTest","shouldCreateWithMessage"
